,MAE_by_hour,MAE_by_month,MAE_by_weekday,MAE_by_season
0,1.6561238303007901,,3.5755570218960444,
1,1.508031785046613,,3.550366593243783,
2,1.412012676662869,,3.176042509915536,
3,1.4251275751325818,,3.0838802356469004,
4,1.3950592168172202,,3.3911642248170417,
5,1.5009874531074807,1.415695315752274,2.9738014658292133,
6,2.2440518856048586,2.685429272784127,3.209906636873881,
7,2.9116567293802897,3.8827992026523876,,
8,3.4665174134572347,4.636443094412486,,
9,3.6807563668710213,2.6658563412560357,,
10,4.014596876921478,,,
11,4.598197325247305,,,
12,5.065701304541694,,,
13,4.957915505303277,,,
14,5.00915256358959,,,
15,4.9575496765419285,,,
16,5.067800977494982,,,
17,4.8555089611477324,,,
18,4.36194440347177,,,
19,3.8647793423687973,,,
20,3.3182883884288645,,,
21,2.7817781314143426,,,
22,2.4909790314568414,,,
23,2.2179925770229763,,,
Autumn,,,,2.6658563412560357
Spring,,,,1.415695315752274
Summer,,,,3.7462977107884226
Winter,,,,
